店名 ,住所,電話,営業時間,Webサイト,メモ
金比羅製麺　伊丹昆陽店,兵庫県伊丹市昆陽東1-7-23,TEL：072-775-5176,11：00～22：00（ラストオーダー21：30）,,定休日:無し
太鼓亭　伊丹中野店,兵庫県伊丹市中野西4-66,TEL：072-785-5252,11：00～22：00（ラストオーダー21：30）,,定休日:無し
そば太鼓亭　伊丹瑞穂店,兵庫県伊丹市瑞穂町1-62,TEL：072-772-1740,11：00～22：00（ラストオーダー21：30）,,定休日:無し
ポンテルンゴ,兵庫県伊丹市昆陽東4-13-1,TEL：072-779-6577,"ランチ11:30〜13:30
ディナー17:30〜20:30",http://ponte-lungo.com/,定休日:毎週日曜日
日本料理まつ井358,兵庫県伊丹市西台3-1-1,TEL：072-764-6585,17時から翌1時,,定休日:不定休
和風創作　拓味,兵庫県伊丹市中央4丁目6-3中尾ビル106,TEL：072-768-7751,17時から23時,,定休日:毎週日曜日
燻製ハウスchemlyncho けむりんちょ,兵庫県伊丹市西台5-7-22田原ビル101,TEL：072-770-1022,"ランチ10時から15時(L.O 14時30分)
ディナー18時から24時(L.O23時)",https://s.tabelog.com/hyogo/A2803/A280306/28047953/,定休日:毎週日曜日
スターバックスコーヒー,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽1F,TEL：072-787-8835,10:00-21:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
レモネードバイレモニカ,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽1F,TEL：072-782-1661,10:00-21:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
築地銀だこ,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽1F,TEL：072-787-8815,10:00-21:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
銀のあん,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽1F,TEL：072-787-8815,10:00-21:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
マクドナルド,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽1F,TEL：072-787-8873,10:00-21:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
コーヒーギャラリーヒロ,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽2F,TEL：072-771-1299,10:00-21:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
サーティワンアイスクリーム,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽3F,TEL：072-778-9231,10:00-21:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
ケンタッキーフライドチキン,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽3F,TEL：072-787-8882,10:00-21:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
ミスタードーナツ,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽3F,TEL：072-744-2758,10:00-21:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
長崎ちゃんぽんリンガーハット,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽3F,TEL：072-787-8833,10:00-21:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
どうとんぼり神座,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽3F,TEL：072-744-1370,10:00-21:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
どんぶりミュージアム,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽3F,TEL：072-744-1147,10:00-21:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
肉まる商店,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽3F,TEL：072-767-6280,10:00-21:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
テキサスキングステーキ,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽3F,TEL：072-787-8837,10:00-21:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
串家物語,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽4F,TEL：072-787-8819,11:00-22:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
清修庵,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽4F,TEL：072-787-8872,11:00-22:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
ピアサピド,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽4F,TEL：072-778-6917,11:00-22:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
鳥さく,兵庫県伊丹市池尻4-1-1オンモ-ル伊丹昆陽4F,TEL：072-778-5026,11:00-22:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
ピッツェリアマリノ,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽4F,TEL：072-787-8844,11:00-22:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
かつ楽,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽4F,TEL：072-778-9262,11:00-22:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
ビスヌ,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽4F,TEL：072-767-7337,11:00-22:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
上海常,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽4F,TEL：072-778-6936,11:00-22:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
五穀,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽4F,TEL：072-778-9209,11:00-22:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
クレープおじさん,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽3F,TEL：080-8506-0253,10:00-21:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
果汁工房　果琳,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽1F,TEL：072-744-1565,10:00-21:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
讃岐うどんの心　つるさく,兵庫県伊丹市池尻4-1-1イオンモ-ル伊丹昆陽3F,TEL：072-771-9870,10:00-21:00,https://www.aeon.jp/sc/itamikoya/,定休日:なし
らーめん処銀河,兵庫県伊丹市中央4丁目3ノ23,TEL：072-777-5063,18時から23時,,定休日:日曜日
焼肉バル　エイト,兵庫県伊丹市中央1-5-5ボントンビルB1F,TEL：072-777-4129,17:30~24:00,,定休日:火曜日定休
焼肉　尚州　２号店,兵庫県伊丹市中央1丁目7-10,TEL：090-7114-4191,店舗でお問い合わせ下さい。,,定休日:店舗でお問い合わせ下さい。
Butter,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-744-1883,11時～21時,,定休日:年中無休
ミスタードーナツ,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-773-4120,10時～21時,,定休日:年中無休
ケンタッキーフライドチキン,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-780-5055,10時～21時,,定休日:年中無休
炭焼き牛たん仙台なとり,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-767-1629,10時～21時,,定休日:年中無休
しゃぶしゃぶ美山,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-764-5772,11時～22時,,定休日:年中無休
笑たこ,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-780-1187,10時～21時,,定休日:年中無休
酒処　紗々家,兵庫県伊丹市伊丹2-5-7アリオ2,TEL：072-782-3700,１７時から２３時,,定休日:日祝
とんかつ和幸,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-770-4884,11時～22時,,定休日:年中無休
クレープドラゴン,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-771-7181,10時～21時,,定休日:年中無休
釜揚げ讃岐うどん丸亀製麺,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-787-6123,10時～21時,,定休日:年中無休
信州そば野,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-771-2992,11時～22時,,定休日:年中無休
あじまる,兵庫県伊丹市西台2-5-13,TEL：072-778-1194,現地にお問い合わせください。,,定休日:現地にお問い合わせください。
鶴橋風月,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-784-3678,11時～22時,,定休日:年中無休
珈琲所コメダ珈琲店,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-744-2250,9時～21時,,定休日:年中無休
サーティワンアイスクリーム,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-778-2231,10時～21時,,定休日:年中無休
nana's green tea,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-781-1080,11時～22時,,定休日:年中無休
韓菜,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-773-5272,10時～21時,,定休日:年中無休
スターバックスコーヒー,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-771-7188,10時～21時,,定休日:年中無休
土佐わら焼き　龍神丸,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-764-6668,11時～22時,,定休日:年中無休
ポムの樹Jr.,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-775-4310,10時～21時,,定休日:年中無休
肉のヤマキ商店,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-779-5580,10時～21時,,定休日:年中無休
グランブッフェ,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-773-5032,11時～22時,,定休日:年中無休
ミャムミャム,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-782-4855,10時～21時,,定休日:年中無休
ロンフーダイニング,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-778-4621,11時～22時,,定休日:年中無休
果汁工房　果琳,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-781-2031,10時～21時,,定休日:年中無休
タピオカドリンク専門店ＯＲＯ,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-767-7570,10時～21時,,定休日:年中無休
馳走酒房まいど,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-773-7475,11時～22時,,定休日:年中無休
マクドナルド,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-775-4133,10時～21時,,定休日:年中無休
いきなりステーキ,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-764-5229,11時～22時,,定休日:年中無休
豚屋とん一,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-778-6106,10時～21時,,定休日:年中無休
蒸すん,兵庫県伊丹市宮ノ前2丁目1-2伊丹みやのまち4号館(106-1),TEL：072-785-1164,"11:30～14:30
17:00～23:00",https://musun-2019.com/,定休日:日曜日
焼肉陽苑,兵庫県伊丹市池尻6-268,TEL：072-779-7223,11時半から23時まで,https://www.instagram.com/yakiniku_yoen/,定休日:毎週木曜日
ガスト 伊丹瑞穂店,兵庫県伊丹市瑞穂町6丁目45,TEL：072-780-2031,7時～23時30,,定休日:なし
ガスト 伊丹桜台店,兵庫県伊丹市中野北3丁目5-14,TEL：072-780-2032,7時～23時30,,定休日:なし
ガスト 伊丹荒牧店,兵庫県伊丹市荒牧1丁目3-23,TEL：072-780-3203,8時～23時30,,定休日:なし
ステーキガスト 伊丹堀池店,兵庫県伊丹市昆陽南5丁目1-3,TEL：072-780-1780,11時～23時30,,定休日:なし
ガスト 伊丹野間店,兵庫県伊丹市南野6-4-27,TEL：072-780-5316,8時～23時30,,定休日:なし
バーミヤン 伊丹鴻池店,兵庫県伊丹市鴻池3丁目20番39号,TEL：072-775-6170,10時～23時30,,定休日:なし
しゃぶ葉 伊丹大鹿店,兵庫県伊丹市大鹿7丁目45,TEL：072-779-1501,11時～23時30,,定休日:なし
韓国厨房　尚州(本店),兵庫県伊丹市中央2丁目9-29パセオ三軒寺通り1F,TEL：072-770-6020,当店の間11時〜14時、17時〜21時半(LO21時),,定休日:毎週火曜日
サーティワンアイスクリーム　伊丹ロードサイド店,兵庫県伊丹市瑞ケ丘1-4-1,TEL：072-772-9331,現地にお問い合わせください,,定休日:現地にお問い合わせください
café ねむのき,兵庫県伊丹市北野2-98OMTビル1F,TEL：072-764-5665,9時半から16時,,"定休日:毎週日曜日、祝日
不定休有ります"
はま寿司伊丹昆陽店,兵庫県伊丹市昆陽8丁目34番,TEL：072-782-3666,11：00～23：00,,定休日:なし
スシロー伊丹荒牧店,兵庫県伊丹市荒牧南2-1-21,TEL：072-783-3840,"平日11-23
土日祝10:30-23",,定休日:不定休
やきとりの扇屋　伊丹西野店,兵庫県伊丹市中野北3-4-8,TEL：072-775-6182,16時から24時,,定休日:不定休
肉料理屋　虎次郎　伊丹店,兵庫県伊丹市千僧3丁目140ヴィラメ-プル102,TEL：072-782-2540,"ランチ１１:３０～１４:１５（LO１３:５０）
ディナー１７:００～２２:３０（LO２１:４５）
お客様の入店状況により早閉め場合もございますのでご了承くださいませ。",https://www.hotpepper.jp/strJ001040927/,定休日:毎週火曜日　年末年始
ハートブレッドアンティーク  イオンモール伊丹店,兵庫県伊丹市藤ノ木1-1-1イオンモ-ル伊丹1F,TEL：072-767-7067,10時から22時,,定休日:なし
Cafe Champroo,兵庫県伊丹市西台2-3-5的場ビル1階,TEL：072-785-8805,12時から23時,,定休日:毎週火曜日、不定休
DiningBar Garden,兵庫県伊丹市宮ノ前2-1-11宮の町4号館107,TEL：090-5904-5523,18時から3時,,定休日:毎週水曜日
Heart Bread ANTIQUE,兵庫県伊丹市藤ノ木1丁目1-1,TEL：072-767-7067,10時～21時,,定休日:年中無休
鮨　千寿,兵庫県伊丹市伊丹1丁目13-56,TEL：072-782-3084,現地にお問い合わせください,,定休日:現地にお問い合わせください
讃岐うどんの心　つるさく　イオンモール伊丹昆陽店,兵庫県伊丹市池尻4-4-1イオンモ-ル伊丹昆陽3Fフ-ドコ-ト,TEL：072-771-9870,10時から21時,,定休日:年中無休
ジョリーパスタ荒牧店,兵庫県伊丹市荒牧3-3-5,TEL：072-787-3711,11時～24時,https://www.jolly-pasta.co.jp/,定休日:年中無休
きて屋　伊丹店,兵庫県伊丹市中央1丁目6-4,TEL：072-783-3007,現地にお問い合わせください,,定休日:現地にお問い合わせください
焼き肉　とらじ,兵庫県伊丹市西野2丁目73,TEL：072-783-0198,17時から20時まで,,定休日:毎週火曜日
おとめ食堂,兵庫県伊丹市中央1-7-13田中1-3,TEL：072-777-5517,16:00-24:00,,定休日:不定休
お好み焼き工房いさ,兵庫県伊丹市北野5-3,TEL：072-781-8563,"11時～20時30分（ﾗｽﾄｵｰﾀﾞｰ20時）
※平日14時～17時は中休み",,定休日:毎週月曜日、第４火曜日
鳥芳トリッキー伊丹店,兵庫県伊丹市西台3-1-5,TEL：072-779-2515,17時から25時,,定休日:毎週月曜日
吉野家１７１号線伊丹,兵庫県伊丹市広畑2丁目34-1,TEL：072-785-4011,２４時間,,定休日:無
吉野家尼宝線池尻,兵庫県伊丹市池尻2丁目1-15,TEL：072-773-7588,２４時間,,定休日:無
炉ばた焼き 八光,兵庫県伊丹市西台2-4-10,TEL：072-772-2318,17時から22時,https://hakko1977.exblog.jp,定休日:毎週日曜日
居酒屋　常喜和,兵庫県伊丹市山田4丁目6-64,TEL：072-778-59238,現地にお問い合わせください,,定休日:現地にお問い合わせください
肉バル29やねん！,兵庫県伊丹市中央2-9-29パセオ三軒寺通り102,TEL：072-744-1313,現地にお問い合わせください,,定休日:現地にお問い合わせください
大衆串カツ　からす屋,兵庫県伊丹市西台1-6-22,TEL：090-1966-2990,現地にお問い合わせください,,定休日:現地にお問い合わせください
ＢＵＲＧＥＲ　ＳＨＯＰ　ＬＡＮＤ,兵庫県伊丹市西台1-7-12,TEL：072-747-5793,現地にお問い合わせください,,定休日:現地にお問い合わせください
鳥ぷろ　イオンモール伊丹,兵庫県伊丹市藤ノ木1-1-1,TEL：072-773-7890,10時～22時,,定休日:無し
創作中華Jasmine,兵庫県伊丹市御願塚6丁目2-40,TEL：072-741-1569,11:00〜20:30,,定休日:毎週月曜日
三豊麺　伊丹店,兵庫県伊丹市瑞穂町5-3-1三豊麺伊丹店,TEL：072-714-2068,11時から23時,https://sanpomen.jp,定休日:年中無休
炭火焼肉　七輪　伊丹店,兵庫県伊丹市緑ケ丘6丁目6-1,TEL：072-778-3002,店舗でお問い合わせください。,,定休日:店舗でお問い合わせください。
ケンタッキーフライドチキン伊丹店,兵庫県伊丹市中央1-4-4,TEL：072-780-2366,10時～22時,,定休日:無
海鮮炉端　将,兵庫県伊丹市中央1-5-5ボントンビル1F,TEL：072-778-7282,17時から25時,,定休日:不定休
松屋　伊丹店,兵庫県伊丹市南町3-1-3,TEL：072-780-2245,お問い合わせください,,定休日:お問い合わせください
CafeCuore,兵庫県伊丹市南野北5-3-24ルシャト-,TEL：072-777-5050,８時から１７時,http://www.cafetristan.jp/,定休日:毎週火曜日
INDIAN PALACE,兵庫県伊丹市西台4-6-32NewItami,TEL：072-777-4478,"11:00から15:00
17:00から23:00",,定休日:定休日無し、1/1は休み
ビーフ飯店,兵庫県伊丹市荻野8-48,TEL：072-782-7768,"11時〜2時半（2時L.O）
5時〜10時（9時半L.O）",,"定休日:12月31日
1月1日"
New Tandoori Deligths,"兵庫県伊丹市西台1-6-10,1F",TEL：072-772-3883,"11時から15時
17時から22 30時",,定休日:なし
なか卯　阪急伊丹店,兵庫県伊丹市西台1丁目1番1号,TEL：0120-295-770,24時間営業,http://www.nakau.co.jp/,定休日:不定休
なか卯　伊丹大鹿店,兵庫県伊丹市大鹿7丁目52番地1,TEL：0120-295-770,24時間,http://www.nakau.co.jp/,定休日:不定休
チャイニーズ酒房Cocoiro,兵庫県伊丹市中央5-1-4,TEL：072-785-8025,"11:30～14:30（LO14:00）
17:30～22:30（LO21:30）
※日曜日夜の部（連休の場合は最終日）17:00～21:30（LO20:30）",,定休日:火曜日（その他月1回不定休あり）
ずんどう屋　伊丹大鹿店,兵庫県伊丹市大鹿大鹿5丁目70,TEL：072-744-0448,11:00～25:00,http://www.zundouya.com,定休日:無休(状況により変更有、当社HPにてご確認下さい）
カフェ ダイニング メロウ 伊丹店,兵庫県伊丹市伊丹2丁目3-20和音103号,TEL：072-777-5200,11時から15時、17時から24時,https://cafediningmellow.owst.jp/,定休日:月曜日(祝日営業)、不定休
~美酒と旬菜~莉庵,兵庫県伊丹市中央4-3-8タナベビル一階,TEL：072-779-3131,17時から24時,http://www.itami-rian.com/sp/menu.html,定休日:毎週日曜日、第３月曜日
Ｎ白木屋　阪急伊丹駅前店,兵庫県伊丹市西台3-9-22西台駅前ビル1階,TEL：072-785-9688,詳細は店舗までお問い合わせください,https://www.monteroza.co.jp/shop.html?shop=829047,定休日:臨時休業有り
横濱魚萬　阪急伊丹駅前店,兵庫県伊丹市西台1-3-5伊丹駅前サンハイツ1階,TEL：072-785-2488,詳細は店舗までお問い合わせください,https://www.monteroza.co.jp/shop.html?shop=846017,定休日:臨時休業有り
浜焼き処一,兵庫県伊丹市中央5-1-3,TEL：072-770-2063,17:00-24:00,,定休日:毎週火曜日(祝前日は営業)
